[2025-10-21 06:27:28] IP: ::1 | Usuario: ID: 14 | Actividad: Registro de nuevo usuario: AS@gmail.com
[2025-10-27 20:49:30] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 7u7thin@gmail.com
[2025-10-27 20:49:33] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 7u7thin@gmail.com
[2025-10-27 21:36:39] IP: ::1 | Usuario: ID: 17 | Actividad: Registro de nuevo usuario: 1231111@gmail.com
[2025-10-27 21:37:01] IP: ::1 | Usuario: ID: 18 | Actividad: Registro de nuevo usuario: 112345678@gmail.com
[2025-10-27 21:37:06] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-27 22:55:37] IP: ::1 | Usuario: ID: 17 | Actividad: Registro de nuevo usuario: 1221@gmail.com
[2025-10-27 22:55:41] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:02:07] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 1221@gmail.com
[2025-10-27 23:02:12] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 1221@gmail.com
[2025-10-27 23:02:18] IP: ::1 | Usuario: ID: 17 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:18:22] IP: ::1 | Usuario: ID: 18 | Actividad: Registro de nuevo usuario: 678@gmail.com
[2025-10-27 23:18:27] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:19:33] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 678@gmail.com
[2025-10-27 23:22:26] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 678@gmail.com
[2025-10-27 23:22:31] IP: ::1 | Usuario: ID: 18 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:26:17] IP: ::1 | Usuario: ID: 19 | Actividad: Registro de nuevo usuario: QW@gmail.com
[2025-10-27 23:26:21] IP: ::1 | Usuario: ID: 19 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:35:07] IP: ::1 | Usuario: ID: 19 | Actividad: Inicio de sesión exitoso
[2025-10-27 23:52:10] IP: ::1 | Usuario: ID: 20 | Actividad: Registro de nuevo usuario: 123123@gmail.com
[2025-10-27 23:52:15] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-28 00:17:40] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: 123123@gmail.com
[2025-10-28 00:17:43] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-28 01:48:32] IP: ::1 | Usuario: No identificado | Actividad: Intento de inicio de sesión fallido: TC00011
[2025-10-28 01:48:41] IP: ::1 | Usuario: ID: 20 | Actividad: Inicio de sesión exitoso
[2025-10-28 01:58:02] IP: 192.168.1.65 | Usuario: ID: 21 | Actividad: Registro de nuevo usuario: g@gmail.com
[2025-10-28 01:58:42] IP: 192.168.1.65 | Usuario: ID: 21 | Actividad: Inicio de sesión exitoso
[2025-10-28 02:21:43] IP: ::1 | Usuario: ID: 22 | Actividad: Registro de nuevo usuario: 111111111111111111@gmail.com
[2025-10-28 02:21:47] IP: ::1 | Usuario: ID: 22 | Actividad: Inicio de sesión exitoso
[2025-10-28 03:50:51] IP: ::1 | Usuario: ID: 22 | Actividad: Inicio de sesión exitoso
